수요지 id,X,Y,초등학령인구,행정동명
C1,126.3715048,37.4637824,1,인천광역시 중구 용유동
C2,126.4795048,37.4957824,46,인천광역시 중구 운서동
C3,126.4815048,37.4997824,36,인천광역시 중구 운서동
C4,126.4825048,37.4957824,81,인천광역시 중구 운서동
C5,126.4835048,37.4977824,25,인천광역시 중구 운서동
C6,126.4835048,37.4997824,14,인천광역시 중구 운서동
C7,126.4835048,37.5007824,14,인천광역시 중구 운서동
C8,126.4845048,37.4987824,28,인천광역시 중구 운서동
C9,126.4845048,37.4997824,21,인천광역시 중구 운서동
C10,126.4855048,37.4957824,37,인천광역시 중구 운서동
C11,126.4855048,37.5007824,28,인천광역시 중구 운서동
C12,126.4855048,37.5017824,36,인천광역시 중구 운서동
C13,126.4865048,37.4887824,29,인천광역시 중구 운서동
C14,126.4865048,37.4907824,56,인천광역시 중구 운서동
C15,126.4865048,37.4927824,30,인천광역시 중구 운서동
C16,126.4865048,37.4937824,45,인천광역시 중구 운서동
C17,126.4865048,37.4997824,30,인천광역시 중구 운서동
C18,126.4865048,37.5017824,14,인천광역시 중구 운서동
C19,126.4875048,37.4997824,37,인천광역시 중구 운서동
C20,126.4875048,37.5007824,14,인천광역시 중구 운서동
C21,126.4875048,37.5017824,14,인천광역시 중구 운서동
C22,126.4875048,37.5027824,14,인천광역시 중구 운서동
C23,126.4885048,37.4887824,40,인천광역시 중구 운서동
C24,126.4885048,37.4907824,92,인천광역시 중구 운서동
C25,126.4985048,37.4887824,112,인천광역시 중구 운서동
C26,126.4995048,37.4847824,96,인천광역시 중구 운서동
C27,126.4995048,37.4877824,104,인천광역시 중구 운서동
C28,126.5015048,37.4827824,288,인천광역시 중구 운서동
C29,126.5025048,37.4887824,248,인천광역시 중구 운서동
C30,126.5035048,37.4807824,228,인천광역시 중구 영종동
C31,126.5055048,37.5137824,4,인천광역시 중구 영종동
C32,126.5065048,37.5127824,2,인천광역시 중구 영종동
C33,126.5075048,37.4787824,362,인천광역시 중구 영종동
C34,126.5075048,37.5137824,2,인천광역시 중구 영종동
C35,126.5085048,37.4817824,41,인천광역시 중구 운서동
C36,126.5085048,37.4827824,20,인천광역시 중구 운서동
C37,126.5105048,37.5087824,1,인천광역시 중구 영종동
C38,126.5125048,37.5097824,4,인천광역시 중구 영종동
C39,126.5135048,37.4777824,334,인천광역시 중구 영종동
C40,126.5145048,37.5107824,2,인천광역시 중구 영종동
C41,126.5145048,37.5127824,2,인천광역시 중구 영종동
C42,126.5145048,37.5137824,9,인천광역시 중구 영종동
C43,126.5145048,37.5147824,2,인천광역시 중구 영종동
C44,126.5165048,37.5107824,8,인천광역시 중구 영종동
C45,126.5215048,37.5087824,6,인천광역시 중구 영종동
C46,126.5255048,37.5097824,3,인천광역시 중구 영종동
C47,126.5295048,37.5077824,5,인천광역시 중구 영종동
C48,126.5315048,37.4887824,128,인천광역시 중구 영종동
C49,126.5325048,37.5067824,2,인천광역시 중구 영종동
C50,126.5325048,37.5087824,2,인천광역시 중구 영종동
C51,126.5335048,37.5047824,2,인천광역시 중구 영종동
C52,126.5335048,37.5057824,2,인천광역시 중구 영종동
C53,126.5345048,37.5047824,2,인천광역시 중구 영종동
C54,126.5355048,37.4877824,1,인천광역시 중구 영종동
C55,126.5365048,37.4957824,7,인천광역시 중구 영종동
C56,126.5375048,37.4907824,1,인천광역시 중구 영종동
C57,126.5375048,37.4957824,5,인천광역시 중구 영종동
C58,126.5385048,37.4957824,2,인천광역시 중구 영종동
C59,126.5395048,37.4937824,3,인천광역시 중구 영종동
C60,126.5395048,37.4957824,8,인천광역시 중구 영종동
C61,126.5395048,37.5147824,2,인천광역시 중구 영종동
