동명,인구수 합계,인구수 남,인구수 여,세대수,18세 이상 합계,18세 이상 남,18세 이상 여,65세 이상 합계,65세 이상 남,65세 이상 여
만석동,"6,530","3,376","3,154","3,134","5,787","2,982","2,805","1,616",712,904
화수1.화평동,"5,663","2,891","2,772","2,796","5,155","2,621","2,534","1,753",787,966
화수2동,"7,196","3,527","3,669","3,667","6,580","3,218","3,362","2,304",935,"1,369"
송현1.2동,"9,962","4,886","5,076","4,383","8,713","4,234","4,479","2,270",967,"1,303"
송현3동,"3,014","1,563","1,451","1,674","2,827","1,473","1,354","1,024",425,599
송림1동,"6,041","2,927","3,114","2,700","5,291","2,543","2,748",965,424,541
송림2동,"1,682",883,799,"1,033","1,602",835,767,675,282,393
송림3.5동,"5,713","2,866","2,847","2,539","5,018","2,496","2,522","1,328",560,768
송림4동,"6,070","3,125","2,945","2,524","5,129","2,638","2,491",862,412,450
송림6동,"5,836","2,912","2,924","2,495","4,982","2,442","2,540","1,407",597,810
금창동,"2,304","1,155","1,149","1,275","2,153","1,069","1,084",858,353,505
