동명,인구수 합계,인구수 남,인구수 여,세대수,18세 이상 합계,18세 이상 남,18세 이상 여,65세 이상 합계,65세 이상 남,65세 이상 여
신포동,4766,2420,2346,2538,4306,2172,2134,1366,579,787
연안동,5551,3010,2541,3116,5182,2823,2359,1633,752,881
신흥동,13723,6945,6778,6585,12055,6103,5952,2997,1316,1681
도원동,3708,1919,1789,2039,3486,1812,1674,1250,563,687
율목동,2999,1550,1449,1790,2817,1454,1363,950,384,566
동인천동,5520,2930,2590,3310,5201,2754,2447,1778,778,1000
개항동,6983,3507,3476,3895,6523,3267,3256,2059,871,1188
영종동,22596,12317,10279,11713,19632,10776,8856,3325,1617,1708
영종1동,50905,25416,25489,19770,38021,18894,19127,4214,1860,2354
운서동,36479,19185,17294,20977,32053,16876,15177,3331,1542,1789
용유동,3676,2034,1642,2432,3540,1974,1566,1373,669,704
