"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
28140-00002,화도진공원,근린공원,인천광역시 동구 화도진로 114,인천광역시 동구 화수동 140-1,37.48148073,126.6283533,20830,"온몸노젓기, 등허리지압기, 어깨근육풀기, 마라톤운동, 하체근육운동, 하늘걷기 등",,"주차장, 화장실, 음수대,공중전화","병영 11동, 유물전시관, 한미수교기념비, 야포전시장","관리사무실, 벽천분수, 앉음벽, 국기게양대",1986-09-29,인천광역시 동구청,032-770-6205,2023-06-23
28140-00003,인천교공원,근린공원,인천광역시 동구 방축로 231,인천광역시 동구 송림동 318,37.47784433,126.6696185,94068.8,"축구장, 족구장겸농구장, 육상트랙, 야외운동기구","조합놀이대, 그네, 모래놀이터","주차장, 화장실, 음수대",어린이교통안전교육장,"어린이교통공원, 구민운동장, 관리사무실, 국기게양대",1986-09-29,인천광역시 동구청,032-770-6203,2023-06-23
28140-00005,송현공원,근린공원,인천광역시 동구 솔빛로 51,인천광역시 동구 송현동 163,37.47777345,126.639225,72491.7,"인라인스케이트장, 족구장, 야외운동기구","조합놀이대, 그네, 시소, 흔들놀이, 미끄럼틀, 모래놀이터","주차장, 화장실, 음수대","달동네박물관, 숲도서관, 유아숲체험원","관리사무실, 분수, 인공폭포, 생태연못, 물놀이터 또랑, 생태정원",1994-11-07,인천광역시 동구청,032-770-6204,2023-06-23
28140-00028,괭이부리소공원,소공원,,인천광역시 동구 만석동 7-16,37.4856259,126.6233374,365.1,"전신하늘걷기, 다리쭉뻗치기",,,,의자,2012-06-11,인천광역시 동구청,032-770-6205,2023-06-23
28140-00029,만석소공원,소공원,,인천광역시 동구 만석동 9-549,37.48518647,126.6243999,241.1,,,음수대,,"원형의자, 파고라",2012-06-11,인천광역시 동구청,032-770-6205,2023-06-23
28140-00031,송희마을소공원,소공원,,인천광역시 동구 송림동 2-26,37.4785759,126.6535125,568,"등지압기+어깨근육풀기, 하늘걷기+물결타기, 허리돌리기+윗몸일으키기",,,,의자,2021-07-05,인천광역시 동구청,032-770-6205,2023-06-23
28140-00010,화수13공원,어린이공원,,인천광역시 동구 화평동 1-5,37.48044325,126.633242,262,"허리돌리기, 마라톤운동, 몸통돌리기","조합놀이대, 그네, 흔들놀이",,,의자,1998-07-20,인천광역시 동구청,032-770-6205,2023-06-23
28140-00011,창영공원,어린이공원,인천광역시 동구 우각로 26,인천광역시 동구 창영동 21-15,37.47077768,126.6391049,1019.8,"트리플트위스트, 스텝사이클","조합놀이대, 흔들놀이",음수대,,"파고라, 의자, 앉음벽",1999-08-02,인천광역시 동구청,032-770-6205,2023-06-23
28140-00001,궁현공원,어린이공원,,인천광역시 동구 송림동 339-8,37.4808543,126.6501009,1354.8,"온몸역기내리기, 등허리지압기, 온몸역기올리기","유아 조합놀이대, 미끄럼틀, 모래놀이시설, 물펌프 놀이시설",음수대,,"파고라, 그네의자",1982-11-22,인천광역시 동구청,032-770-6205,2023-06-23
28140-00004,돌산공원,어린이공원,,인천광역시 동구 송현동 1-173,37.48241465,126.642195,8111,"농구장, 롤링웨이스트, 체어풀, 스트레칭로라, 체어웨이트 등","조합놀이대, 모래놀이터, 그네, 흔들놀이",음수대,,"파고라, 의자",1994-03-26,인천광역시 동구청,032-770-6205,2023-06-23
28140-00006,수문통공원,어린이공원,,인천광역시 동구 송현동 60,37.4801533,126.6359776,634,"허리돌리기, 온몸노젓기","조합놀이대, 자가발전흔들놀이(고래, 호랑이)",음수대,,"파고라, 의자",1996-04-08,인천광역시 동구청,032-770-6205,2023-06-23
28140-00007,만석공원,어린이공원,,인천광역시 동구 만석동 43-14,37.48325962,126.6195363,4404.4,"풋살경기장, 야외운동기구","조합놀이대, 모래놀이터","화장실, 음수대",,"파고라, 의자",1996-12-11,인천광역시 동구청,032-770-6205,2023-06-23
28140-00008,화수3공원,어린이공원,,인천광역시 동구 화수동 7-7,37.48567321,126.6293667,411.5,,조합놀이대,,,앉음벽,1997-06-18,인천광역시 동구청,032-770-6205,2023-06-23
28140-00030,솔마루공원,어린이공원,,인천광역시 동구 송현동 85-16,37.4762214,126.6354996,4613.8,"체력단련장(온몸근육풀기, 줄당기기, 다리근육풀기, 철봉운동, 등지압, 허리돌리기, 어깨근육풀기, 매달려건너기, 스쿼트머신, 버터플라이머신, 스탠딩레그컬머신, 숄더프레스머신, 레그익스텐션머신, 체스트프레스머신)","숲속놀이대, 시소, 숲테이블, 흔들다리건너기, 외나무다리건너기","화장실, 음수대",,"파고라, 의자",2016-05-02,인천광역시 동구청,032-770-6205,2023-06-23
