"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
28110-00001,자유공원,근린공원,인천광역시 중구 자유공원남로 25,인천광역시 중구 송학동 1가 11-1,37.47457949,126.6226894,68112,"배드민턴장, 게이트볼장",,"주차장, 매점, 화장실",,,1944-01-08,인천광역시 중구청,032-760-7584,2023-05-16
28110-00002,율목공원,어린이공원,인천광역시 중구 율목로45,인천광역시 중구 율목동 244-1,37.47040288,126.6328233,9785,"농구장, 인라인스케이트장","조합놀이대, 그네, 시소",화장실,,,1944-01-08,인천광역시 중구청,032-760-7584,2023-05-16
28110-00005,도원공원,어린이공원,,인천광역시 중구 도원동 30-49,37.46710636,126.6381621,494,,"조합놀이대, 그네, 시소",,,,1993-10-18,인천광역시 중구청,032-760-7584,2023-05-16
28110-00006,앵두공원,어린이공원,,인천광역시 중구 운서동 2652,37.50302273,126.4896082,2860,,"조합놀이대, 시소, 흔들놀이기구",,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00007,초롱공원,어린이공원,,인천광역시 중구 운서동 2725-2,37.4994107,126.4893832,1758,,"조합놀이대, 그네, 오르는기구",,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00008,모란공원,어린이공원,,인천광역시 중구 운서동 2705-2,37.4961381,126.4915469,2008,,"조합놀이대, 그네, 흔들놀이기구",,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00009,매화공원,어린이공원,,인천광역시 중구 운서동 2743-2,37.50092289,126.4876078,1886,,조합놀이대,,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00010,나리공원,어린이공원,,인천광역시 중구 운서동 2747-7,37.4978014,126.4834584,2000,,"조합놀이대, 시소",,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00011,창포공원,어린이공원,,인천광역시 중구 운서동 2776-1,37.4923136,126.4844559,1523,,조합놀이대,,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00012,유수지공원,근린공원,인천광역시 중구 신도시북로 31-35(운서동),인천광역시 중구 운서동 2746-4,37.49966379,126.480475,58961,,,화장실,,세계평화의 숲 지킴터,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00013,영마루공원,근린공원,인천광역시 중구 영종대로 77(운서동),인천광역시 중구 운서동 2709-1,37.49564134,126.4875425,60116,"풋살장, 축구장, 농구장, 트랙, 배드민턴장, 게이트볼장","조합놀이대, 그네, 시소",화장실,"야외무대, 도서관",공원관리사무실,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00014,앞마루공원,근린공원,,인천광역시 중구 운서동 2787-4,37.49430175,126.4877598,13701,,,,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00015,뒷마루공원,근린공원,,인천광역시 중구 운서동 2788-5,37.49145945,126.4876069,12500,,,,,,1997-10-11,인천광역시 중구청,032-760-7777,2023-05-16
28110-00016,눈돌공원,어린이공원,,인천광역시 중구 운서동 2905,37.48422918,126.5090904,6166,,조합놀이대,,,,1998-07-03,인천광역시 중구청,032-760-7777,2023-05-16
28110-00017,용샘공원,어린이공원,,인천광역시 중구 운서동 2895-15,37.48459863,126.5122676,2805,,"조합놀이대, 시소",,,,1998-07-03,인천광역시 중구청,032-760-7777,2023-05-16
28110-00018,큰말공원,어린이공원,,인천광역시 중구 운서동 2915,37.48181912,126.5101199,2068,,"조합놀이대, 흔들놀이기구",,,,1998-07-03,인천광역시 중구청,032-760-7777,2023-05-16
28110-00024,오가공원,어린이공원,,인천광역시 중구 운남동 1508,37.49505197,126.5308652,1503,,"조합놀이대, 시소",,,,2003-08-04,인천광역시 중구청,032-760-7777,2023-05-16
28110-00025,은방울공원,어린이공원,,인천광역시 중구 운남동 1533,37.49232952,126.5310761,1501,,"조합놀이대, 그네, 시소",,,,2003-08-04,인천광역시 중구청,032-760-7777,2023-05-16
28110-00026,진달래공원,어린이공원,,인천광역시 중구 운남동 1543,37.49209604,126.5283644,1500,,"조합놀이대, 흔들놀이기구",,,,2003-08-04,인천광역시 중구청,032-760-7777,2023-05-16
