objectid,facility_id,ctprvnnm,signgunm,signgucode,rdnmadr,lnmadr,fclty_knd,trget_fclty_nm,latitude,longitude,institution_nm,cmptnc_polcsttn_nm,cctv_yn,cctv_number,prtcarea_rw,dsgn_ymd,et,bt,sgngnrco,unitysflblco,prtcareasflblco,crslkco,hghlacrslkco,bollaco,rdscindictco,prctfenceet,nesinstlet,roadrflectco,ovrspdprvnco,sliprvnfclco,sliprvnfclet,lmttves,lmttvesgnalco,prkstopprhibtsgnalco,referencedate,instt_code,instt_nm,handicapcvntlyn,handicapcvntltype,shape_Length,shape_Area
36,749,인천광역시,중구,28110,도산로22번길,인천광역시 중구 도원동,어린이집,갈매기어린이집,37.46728,126.637868,인천광역시청,,,,,,,,,,,,0,,1,,,,1,,,0,,0,2021-12-03,,,,,112.4569421,234.0979449
339,733,인천광역시,중구,28110,답동로,인천광역시 중구 율목동,유치원,박문유치원,37.471251,126.631319,인천광역시청,,,,,,,,,2,,4,0,,3,,180,1,2,2,,30,,0,2021-12-03,,,,,143.8535622,557.5637742
475,748,인천광역시,중구,28110,도산로21번길,인천광역시 중구 도원동,어린이집,갈매기어린이집,37.467659,126.638194,인천광역시청,,,,,,,,,,,,0,,1,,,,1,,,0,,0,2021-12-03,,,,,75.09692886,155.9811184
635,790,인천광역시,중구,28110,은하수로,인천광역시 중구 영종1동1640-1,초등학교,별빛초등학교,37.49287,126.553854,인천광역시청,,,,,,,,2,,,4,0,,9,300,,,,2,,30,,0,2021-12-03,,,,,574.3950223,8513.586984
686,722,인천광역시,중구,28110,축항대로118번길,인천광역시 중구 연안동,초등학교,연안초등학교,37.452749,126.608478,인천광역시청,,,,,,,,2,2,,2,0,,,220,600,,1,,,30,,0,2021-12-03,,,,,753.9477309,10087.72932
691,750,인천광역시,중구,28110,도산로,인천광역시 중구 도원동,어린이집,갈매기어린이집,37.467628,126.637842,인천광역시청,,,,,,,,,1,,,0,,1,,,,5,,,0,,0,2021-12-03,,,,,103.875276,384.0539754
714,739,인천광역시,중구,28110,인중로182번길,인천광역시 중구 신포동97,어린이집,월디어린이집,37.469685,126.624819,인천광역시청,,,,,,,,,2,,,0,,3,,,,3,,,30,,0,2021-12-03,,,,,242.1325226,936.6591
722,740,인천광역시,중구,28110,인항로24번길,인천광역시 중구 신흥동97,어린이집,세연어린이집,37.456512,126.632334,인천광역시청,,,,,,,,,4,,1,0,,6,,1100,1,4,,,30,,0,2021-12-03,,,,,525.1484464,2435.374957
723,742,인천광역시,중구,28110,개항로106번길,인천광역시 중구 동인천동,어린이집,구립장미어린이집,37.471739,126.634808,인천광역시청,,,,,,,,,1,,,0,,1,,,,,,,30,,0,2021-12-03,,,,,95.89257659,173.392684
726,747,인천광역시,중구,28110,자유공원서로29번길,인천광역시 중구 개항동,어린이집,푸른숲어린이집/비둘기어린이집,37.476838,126.620134,인천광역시청,,,,,,,,,,,,0,,,,,,,,,0,,0,2021-12-03,,,,,219.3679565,435.7350787
728,723,인천광역시,중구,28110,축항대로86번길,인천광역시 중구 연안동,초등학교,연안초등학교,37.453067,126.604819,인천광역시청,,,,,,,,2,1,,4,0,,6,,,,,1,,30,,0,2021-12-03,,,,,647.6703198,9373.44325
730,724,인천광역시,중구,28110,신포로39번길,인천광역시 중구 신포동97,초등학교,인성초등학교,37.473788,126.623252,인천광역시청,,,,,,,,0,3,,,0,,8,100,200,4,3,1,,30,,0,2021-12-03,,,,,646.5758781,2165.888314
732,712,인천광역시,중구,28110,제물량로,인천광역시 중구 신포동97,초등학교,신흥초등학교,37.469502,126.628943,인천광역시청,,,,,,,,8,5,,3,0,,23,630,2280,,4,,,30,,0,2021-12-03,,,,,685.4835337,8521.728973
733,751,인천광역시,중구,28110,인중로,인천광역시 중구 신흥동97,학원,에듀존학원,37.465245,126.632958,인천광역시청,,,,,,,,2,,,,0,,1,,,,1,,,0,,0,2021-12-03,,,,,321.6596488,4373.140436
734,713,인천광역시,중구,28110,우현로,인천광역시 중구 신포동97,초등학교,신흥초등학교,37.470194,126.627518,인천광역시청,,,,,,,,2,4,,1,0,,6,,600,,,,,50,,0,2021-12-03,,,,,383.7730385,4790.394538
735,785,인천광역시,중구,28110,남디로,인천광역시 중구 영종동,유치원,이튼유치원,37.482153,126.520621,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,321.1426662,2667.515516
736,714,인천광역시,중구,28110,답동로,인천광역시 중구 신포동97,초등학교,신흥초등학교,37.470061,126.630756,인천광역시청,,,,,,,,,3,,,0,,3,205,410,1,4,1,,30,,0,2021-12-03,,,,,470.8374341,1720.87707
737,743,인천광역시,중구,28110,동화마을길,인천광역시 중구 개항동,어린이집,섭리어린이집,37.478394,126.620391,인천광역시청,,,,,,,,,3,,,0,,2,,530,,2,1,,30,,0,2021-12-03,,,,,156.3354767,387.6687714
738,715,인천광역시,중구,28110,참외전로,인천광역시 중구 동인천동,초등학교,송월초등학교,37.479654,126.624439,인천광역시청,,,,,,,,8,5,,3,0,,23,630,2280,,4,,,30,,0,2021-12-03,,,,,721.7034974,8080.609193
739,721,인천광역시,중구,28110,연안부두로33번길,인천광역시 중구 연안동,초등학교,연안초등학교,37.453373,126.606924,인천광역시청,,,,,,,,4,3,,11,0,4,6,260,1620,,1,,,30,,0,2021-12-03,,,,,605.7139442,7994.254504
740,732,인천광역시,중구,28110,우현로50번길,인천광역시 중구 신포동97,유치원,박문유치원,37.471371,126.630403,인천광역시청,,,,,,,,,1,,,0,20,4,,,1,3,1,,30,,0,2021-12-03,,,,,498.1627769,1354.006767
741,716,인천광역시,중구,28110,자유공원로,인천광역시 중구 동인천동,초등학교,송월초등학교,37.478584,126.622605,인천광역시청,,,,,,,,,9,,,0,,5,,,7,4,,,30,,0,2021-12-03,,,,,740.1797359,2474.318881
742,717,인천광역시,중구,28110,인중로,인천광역시 중구 신흥동97,초등학교,신광초등학교,37.464511,126.635624,인천광역시청,,,,,,,,4,3,,4,0,,12,55,2400,,,1,,50,,0,2021-12-03,,,,,596.6794577,8035.227766
743,718,인천광역시,중구,28110,제물량로,인천광역시 중구 신흥동97,초등학교,신광초등학교,37.465291,126.635629,인천광역시청,,,,,,,,4,2,,5,0,,,,780,,,,,50,,0,2021-12-03,,,,,493.7063002,5974.505717
744,719,인천광역시,중구,28110,도원로,인천광역시 중구 신흥동97,초등학교,신광초등학교,37.46501,126.636265,인천광역시청,,,,,,,,,,,,0,,,,175,,1,,,30,,0,2021-12-03,,,,,166.8731142,775.3447667
