objectid,facility_id,ctprvnnm,signgunm,signgucode,rdnmadr,lnmadr,fclty_knd,trget_fclty_nm,latitude,longitude,institution_nm,cmptnc_polcsttn_nm,cctv_yn,cctv_number,prtcarea_rw,dsgn_ymd,et,bt,sgngnrco,unitysflblco,prtcareasflblco,crslkco,hghlacrslkco,bollaco,rdscindictco,prctfenceet,nesinstlet,roadrflectco,ovrspdprvnco,sliprvnfclco,sliprvnfclet,lmttves,lmttvesgnalco,prkstopprhibtsgnalco,referencedate,instt_code,instt_nm,handicapcvntlyn,handicapcvntltype,shape_Length,shape_Area
1,1202,인천광역시,부평구,28237,경원대로1418번길,인천광역시 부평구 부평1동,어린이집,중부어린이집,37.490577,126.726457,인천광역시청,,,,,,,,0,5,,0,0,0,3,0,0,0,2,0,,0,,0,2021-12-03,,,,,249.1692793,819.4866953
2,236,인천광역시,남동구,28200,호구포로900번길,인천광역시 남동구 간석3동,초등학교,인천인동초등학교,37.462523,126.721251,인천광역시청,,,,,,,,,0,,1,,0,5,55,0,0,2,,,30,,0,2021-12-03,,,,,239.4553813,829.1176081
3,444,인천광역시,서구,28260,신석로121번길,인천광역시 서구 석남1동125-6,노인,서구노인복지관,37.510396,126.675584,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,264.6568229,1023.434899
4,208,인천광역시,남동구,28200,담방로47번길,인천광역시 남동구 만수6동101-1,초등학교,인천남동초등학교,37.443912,126.738098,인천광역시청,,,,,,,,,0,,2,,0,3,,0,0,,1,,30,,0,2021-12-03,,,,,221.7145604,942.1054362
5,1204,인천광역시,부평구,28237,후정동로25번길,인천광역시 부평구 삼산1동,어린이집,연세어린이집,37.519456,126.736888,인천광역시청,,,,,,,,0,10,,0,0,0,7,0,0,0,4,0,,0,,0,2021-12-03,,,,,211.2354809,775.6373784
6,144,인천광역시,남동구,28200,석산로208번길,인천광역시 남동구 구월2동6-23,초등학교,인천간석초등학교,37.45951,126.716044,인천광역시청,,,,,,,,,0,,,,0,,,0,0,1,1,,30,,0,2021-12-03,,,,,274.7610554,751.5535793
7,437,인천광역시,남동구,28200,서판로,인천광역시 남동구 만수3동,어린이집,행복한어린이집,37.463918,126.726438,인천광역시청,,,,,,,,,0,,,,0,2,,0,0,,,,30,,0,2021-12-03,,,,,152.3941798,488.0677126
8,1206,인천광역시,부평구,28237,충선로103번길,인천광역시 부평구 부개3동16-63,어린이집,A&E지혜어린이집,37.498533,126.735509,인천광역시청,,,,,,,,0,2,,0,1,0,2,0,0,0,1,0,,0,,0,2021-12-03,,,,,113.9265619,210.4708598
9,951,인천광역시,미추홀구,28177,주안동로,인천광역시 미추홀구 주안6동951-5,초등학교,석암초등학교,37.462588,126.686756,인천광역시청,,,,,,,,0,0,,1,0,0,3,24,0,1,2,,,30,,0,2021-12-03,,,,,276.1129057,673.0504763
10,215,인천광역시,남동구,28200,간석로25번길,인천광역시 남동구 간석3동,초등학교,인천약산초등학교,37.468109,126.711248,인천광역시청,,,,,,,,,0,,,,0,3,,0,0,3,2,,30,,0,2021-12-03,,,,,254.2857902,585.660288
11,255,인천광역시,남동구,28200,만수로50번길,인천광역시 남동구 만수4동68,초등학교,인천새말초등학교,37.459505,126.735142,인천광역시청,,,,,,,,2,0,,4,,0,18,,0,0,3,3,,30,,0,2021-12-03,,,,,671.3202139,5862.488686
12,1253,인천광역시,계양구,28245,까치말로29번길,인천광역시 계양구 작전서운동,초등학교,작동초등학교,37.528406,126.735581,인천광역시청,,,,,,,,0,1,,2,0,0,3,106,2,2,2,0,,0,,0,2021-12-03,,,,,269.8477037,1117.788585
13,1339,인천광역시,계양구,28245,주부토로381번길,인천광역시 계양구 작전1동287-3,어린이집,예크아일랜드어린이집,37.528456,126.729033,인천광역시청,,,,,,,,0,1,,0,0,0,2,0,0,0,0,0,,0,,0,2021-12-03,,,,,144.7958752,233.5374094
14,593,인천광역시,서구,28260,율도로65번길,인천광역시 서구 신현원창동200,초등학교,신현초등학교,37.514281,126.669421,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,304.4362435,785.5552679
15,399,인천광역시,남동구,28200,남촌동로26번길,인천광역시 남동구 남촌도림동,어린이집,아이뜰어린이집,37.432738,126.715878,인천광역시청,,,,,,,,,0,,,,0,8,,0,0,1,,,30,,0,2021-12-03,,,,,386.9176884,1257.691433
16,412,인천광역시,남동구,28200,간석로56번길,인천광역시 남동구 간석3동,어린이집,한양어린이집,37.465588,126.713713,인천광역시청,,,,,,,,,0,,,,0,6,,0,0,2,,,30,,0,2021-12-03,,,,,286.6915412,997.8741522
17,413,인천광역시,남동구,28200,간석로,인천광역시 남동구 간석3동,어린이집,한양어린이집,37.466697,126.713631,인천광역시청,,,,,,,,,0,,,,0,4,,0,0,2,,,30,,0,2021-12-03,,,,,181.1065035,549.693076
18,237,인천광역시,남동구,28200,호구포로888번길,인천광역시 남동구 간석3동,초등학교,인천인동초등학교,37.461338,126.722039,인천광역시청,,,,,,,,,0,,,,0,3,,0,0,3,,,30,,0,2021-12-03,,,,,399.0859428,1606.306334
19,178,인천광역시,남동구,28200,석산로141번길,인천광역시 남동구 간석1동65-82,초등학교,상인천초등학교,37.461456,126.707562,인천광역시청,,,,,,,,,0,,2,,0,4,135,0,0,5,2,,30,,0,2021-12-03,,,,,482.54674,1726.364443
20,480,인천광역시,서구,28260,고산로45번길,인천광역시 서구 원당동41-3,어린이집,해그림어린이집,37.596831,126.70045,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,144.7817318,537.3158941
21,464,인천광역시,서구,28260,건지로,인천광역시 서구 석남3동11-1,어린이집,서부여성회관어린이집,37.49896,126.678613,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,325.5032519,1370.893668
22,256,인천광역시,남동구,28200,만수로,인천광역시 남동구 만수2동869-6,초등학교,인천새말초등학교,37.460991,126.734595,인천광역시청,,,,,,,,2,0,,2,,0,23,172,0,0,,3,,30,,0,2021-12-03,,,,,468.118717,3832.222362
23,257,인천광역시,남동구,28200,만수로50번길,인천광역시 남동구 만수4동68,초등학교,인천새말초등학교,37.45907,126.733923,인천광역시청,,,,,,,,,0,,2,,0,12,,0,0,4,3,,30,,0,2021-12-03,,,,,409.8143117,2108.402112
24,179,인천광역시,남동구,28200,석산로131번길,인천광역시 남동구 간석1동65-82,초등학교,상인천초등학교,37.461437,126.706468,인천광역시청,,,,,,,,,0,,3,,0,9,140,0,0,4,1,,30,,0,2021-12-03,,,,,478.0702079,1320.299056
25,180,인천광역시,남동구,28200,남동대로,인천광역시 남동구 간석1동65-82,초등학교,상인천초등학교,37.461942,126.70832,인천광역시청,,,,,,,,2,0,,2,,0,,,0,0,,,,50,,0,2021-12-03,,,,,701.2083039,10778.27288
26,558,인천광역시,서구,28260,도요지로201번길,인천광역시 서구 검암경서동,유치원,아이사랑유치원,37.55758,126.672602,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,318.8360986,1031.608573
27,96,인천광역시,연수구,28185,함박안로156번길,인천광역시 연수구 연수1동471-4,유치원,하늘땅유치원,37.426154,126.684072,인천광역시청,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,,0,,2,2021-12-03,,,,,190.766554,549.1065295
28,28,인천광역시,연수구,28185,선학로,인천광역시 연수구 선학동196-6,초등학교,선학초등학교,37.424485,126.701226,인천광역시청,,,,,,,,3,,,4,0,0,12,0,0,0,0,,,0,,5,2021-12-03,,,,,603.8621508,5313.727451
29,1,인천광역시,연수구,28185,센트럴로,인천광역시 연수구 송도2동19-4,유치원,글로벌레인보우유치원,37.396365,126.636877,인천광역시청,,,,,,,,1,2,,1,0,0,21,0,0,0,0,,,0,,7,2021-12-03,,,,,914.7856743,18929.45233
30,29,인천광역시,연수구,28185,선학로74번길,인천광역시 연수구 선학동196-6,초등학교,선학초등학교,37.423043,126.700881,인천광역시청,,,,,,,,,,,1,0,0,8,0,0,0,0,,,0,,4,2021-12-03,,,,,525.0711237,9456.117251
31,30,인천광역시,연수구,28185,비류대로,인천광역시 연수구 선학동196-6,초등학교,선학초등학교,37.424118,126.702142,인천광역시청,,,,,,,,2,2,,2,0,0,2,0,0,0,0,,,0,,3,2021-12-03,,,,,336.2970207,1609.995275
32,2,인천광역시,연수구,28185,컨벤시아대로,인천광역시 연수구 송도1동,초등학교,송일초등학교,37.383557,126.636913,인천광역시청,,,,,,,,4,2,,4,0,0,,0,0,0,0,,,0,,3,2021-12-03,,,,,523.7192668,12247.50226
33,854,인천광역시,미추홀구,28177,한나루로490번길,인천광역시 미추홀구 주안3동1442,어린이집,별하어린이집,37.450199,126.672314,인천광역시청,,,,,,,,0,0,,0,0,0,3,0,0,0,3,,,30,,0,2021-12-03,,,,,209.7892848,652.3719015
34,31,인천광역시,연수구,28185,선학로,인천광역시 연수구 선학동196-6,유치원,사랑유치원,37.425884,126.700316,인천광역시청,,,,,,,,,1,,3,0,0,6,0,0,0,0,,,0,,5,2021-12-03,,,,,453.9442427,3797.189657
35,438,인천광역시,남동구,28200,서판로59번길,인천광역시 남동구 만수3동,어린이집,행복한어린이집,37.464314,126.726398,인천광역시청,,,,,,,,,0,,,,0,2,,0,0,1,,,30,,0,2021-12-03,,,,,189.052027,590.8847788
