업종명,업소명,소재지,소재지전화,데이터기준일자
유흥주점영업,위스키메리(외국인전용),인천광역시 중구 개항로 5 (중앙동4가),,2023-07-05
유흥주점영업,디가디가노래타운,인천광역시 중구 홍예문로98번길 9 (인현동),032 -772 -7542,2023-07-05
유흥주점영업,향도 노래천국,"인천광역시 중구 서해대로 462-3 (신흥동2가, 1-35번지 1층)",032 - 883-5611,2023-07-05
유흥주점영업,거래처,인천광역시 중구 신포로27번길 32 (관동2가),032 - 765-2430,2023-07-05
유흥주점영업,미,"인천광역시 중구 신포로23번길 32 (중앙동3가, 1층)",032 - 762-4443,2023-07-05
유흥주점영업,첼로노래타운,"인천광역시 중구 서해대로 462-2 , 2층 (신흥동2가)",032 - 884-3327,2023-07-05
유흥주점영업,씽씽가요방,인천광역시 중구 큰우물로 13 (용동),032 - 772-9775,2023-07-05
유흥주점영업,사탕,인천광역시 중구 신포로23번길 9 (중앙동4가),032 -777 -0324,2023-07-05
유흥주점영업,카카오 노래바,인천광역시 중구 홍예문로 13-2 (중앙동3가),032 - 772-3110,2023-07-05
유흥주점영업,1학년3반 노래타운,인천광역시 중구 제물량로 81 (신흥동2가), 032- 762-1720,2023-07-05
유흥주점영업,신포노래타운,인천광역시 중구 신포로15번길 8 (중앙동4가),032 - 763-1569,2023-07-05
유흥주점영업,바다라,인천광역시 중구 신포로23번길 23 (중앙동4가),032 - 762-1157,2023-07-05
유흥주점영업,홀릭노래타운,"인천광역시 중구 신포로 18 (신생동, 2층)",032 - 772-9885,2023-07-05
유흥주점영업,소풍노래타운,인천광역시 중구 제물량로166번길 1-21 (신생동), 032- 777-1362,2023-07-05
유흥주점영업,아등,인천광역시 중구 홍예문로 13-2 (중앙동3가),032 - 761-0585,2023-07-05
유흥주점영업,코카인 노래밤,"인천광역시 중구 개항로 6, 2층 (중앙동4가)",032 - 764-7288,2023-07-05
유흥주점영업,가이가요주점,"인천광역시 중구 신포로 32-1, 지하1층 (신포동)",032 - 762-8789,2023-07-05
유흥주점영업,마도로스스텐드바,인천광역시 중구 서해대로454번길 18 (선화동),032 - 884-0422,2023-07-05
유흥주점영업,까치노래짱,"인천광역시 중구 서해대로464번길 1-2 (신흥동2가, 3-1번지 1층)",032 - 891-2776,2023-07-05
유흥주점영업,강남,인천광역시 중구 신포로23번길 40 (중앙동3가),032 - 773-2398,2023-07-05
유흥주점영업,<REPLACE>007노래빵,인천광역시 중구 홍예문로 13-1 (중앙동3가),032 - 772-1138,2023-07-05
유흥주점영업,노래하는 청춘아,인천광역시 중구 도원로7번길 7 (신흥동3가),032 - 883-9712,2023-07-05
유흥주점영업,용궁 노래짱,"인천광역시 중구 우현로90번길 27, 2층 (용동)",032 - 766-3900,2023-07-05
유흥주점영업,귀빈노래짱,"인천광역시 중구 연안부두로 35 (항동7가, (2층))",032 - 885-0501,2023-07-05
유흥주점영업,왕대박노래짱,"인천광역시 중구 우현로72번길 6 (용동, 191,192번지 지하1층)",032 - 766-6654,2023-07-05
유흥주점영업,황제노래바,"인천광역시 중구 연안부두로33번길 5 (항동7가, 27-95번지 2층)",032 -882 -1358,2023-07-05
유흥주점영업,보스룸클럽,"인천광역시 중구 흰바위로 35, 2층 (운서동, 영종해수사우나)", 032- 747-1111,2023-07-05
유흥주점영업,파인,인천광역시 중구 신포로23번길 32 (중앙동3가),032 -761 -2343,2023-07-05
유흥주점영업,브이아이피(VIP)노래클럽,"인천광역시 중구 신도시남로150번길 4, 지하1층 (운서동, 스카이프라자)", 032- 751-1880,2023-07-05
유흥주점영업,썬가요주점,인천광역시 중구 참외전로 118-11 (인현동), 032- 772-8086,2023-07-05
유흥주점영업,오렌지,인천광역시 중구 제물량로 249 (항동1가),032 -762 -5280,2023-07-05
유흥주점영업,아미,"인천광역시 중구 신포로 26-2 (신포동, 26-30, 33번지 (1층))",,2023-07-05
유흥주점영업,7080뮤지션라이브,인천광역시 중구 연안부두로33번길 6 (항동7가), 032- 883-9158,2023-07-05
유흥주점영업,발리노래클럽,인천광역시 중구 신도시남로142번길 1 (운서동), 032- 752-8880,2023-07-05
유흥주점영업,행운노래바,"인천광역시 중구 홍예문로 13, 지하1층 (중앙동3가)",,2023-07-05
유흥주점영업,미성가요방,인천광역시 중구 우현로90번길 33 (용동), 032- 765-1118,2023-07-05
유흥주점영업,비취노래주점,"인천광역시 중구 연안부두로33번길 16, 103,104호 (항동7가)",032 -884 -2540,2023-07-05
유흥주점영업,왕궁노래타운,인천광역시 중구 신포로 16-1 (신생동), 032- 766-0068,2023-07-05
유흥주점영업,토마토노래클럽,"인천광역시 중구 흰바위로 37, 지하1층 (운서동, 영종프라자)",032 -746 -7887,2023-07-05
유흥주점영업,상록수 가요주점,인천광역시 중구 연안부두로33번길 5 (항동7가), 032- 864-6776,2023-07-05
유흥주점영업,파티파티노래클럽,"인천광역시 중구 신도시남로142번길 5, 202호 (운서동, 신비프라자)", 032- 747-1335,2023-07-05
유흥주점영업,테라,"인천광역시 중구 신도시남로149번길 1, 403호 (운서동, 다모아프라자)", 032- 751-3377,2023-07-05
유흥주점영업,천하뮤직뱅크,"인천광역시 중구 신도시남로141번길 2, 지하1층 (운서동, 대원프라자)", 032- 746-5858,2023-07-05
유흥주점영업,보보스,인천광역시 중구 용유서로 283 (을왕동), 032- 752-0013,2023-07-05
