순번,단지명,회사명,시군구,소재지,전화번호,종업원수,대표업종번호,업종번호,업종명,생산품
1,강화일반산업단지,(주)청하,강화군,인천광역시 강화군 강화읍 강화산단로 185,,4,29199,29199,그 외 기타 일반목적용 기계 제조업,"파쇄기, 분쇄기 제조"
2,강화일반산업단지,선진상사,강화군,인천광역시 강화군 강화읍 강화산단로 173,,6,25932,"25111, 25932, 25999",일반철물 제조업 외 2 종,철골구조물
3,강화일반산업단지,진용산업,강화군,"인천광역시 강화군 강화읍 강화산단로 245, 2동",,3,22231,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",인쇄제품
4,강화일반산업단지,(주)지앤지글라스,강화군,인천광역시 강화군 강화읍 강화산단로 130 (주)혜덕 외 2필지,,3,23112,23112,안전유리 제조업,유리제품
5,강화일반산업단지,(주)삼성산업기계,강화군,"인천광역시 강화군 강화읍 강화산단로73번길 5, (월곳리 748-5)",,6,25119,25119,기타 구조용 금속제품 제조업,금속구조물외
6,강화일반산업단지,(주)티디홀딩스,강화군,인천광역시 강화군 강화읍 강화산단로 243,02-1661-8037,5,17222,"17222, 17229",판지 상자 및 용기 제조업 외 1 종,"칼라박스, 종이패키지"
7,강화일반산업단지,(주)에스아이씨,강화군,인천광역시 강화군 강화읍 강화산단로 141,02-2028-2409,24,14120,14120,속옷 및 잠옷 제조업,여성속옷
8,강화일반산업단지,㈜고철남,강화군,인천광역시 강화군 강화읍 월곳리 748-2번지 외 1필지,02-2285-5773,12,11209,11209,기타 비알코올 음료 제조업,홍삼음료
9,강화일반산업단지,알토산업,강화군,인천광역시 강화군 강화읍 강화산단로 94,031-405-8805,7,26299,26299,그 외 기타 전자부품 제조업,"전기,전자부품"
10,강화일반산업단지,(주)웰콘,강화군,인천광역시 강화군 강화읍 옥림리 1230-3번지 외 1필지,031-463-1033,6,25112,"22299, 25112, 25113, 25114",구조용 금속 판제품 및 공작물 제조업 외 3 종,"교량난간,반사형 방음벽외, 차선분리대"
11,강화일반산업단지,㈜한찬기업,강화군,인천광역시 강화군 강화읍 월곳리 748-5번지,031-494-5446,10,25111,"25111, 25112, 25113, 25119, 29193, 29199","금속 문, 창, 셔터 및 관련제품 제조업 외 5 종","조립식구조물, 아케이드, 증발냉방장치"
12,강화일반산업단지,대광산업,강화군,인천광역시 강화군 강화읍 강화산단로73번길 26,031-933-4818,8,18119,18119,기타 인쇄업,식품포장지
13,강화일반산업단지,주식회사 승연시스템,강화군,인천광역시 강화군 강화읍 월곳리 748-6번지,031-934-8357,6,28909,28909,그 외 기타 전기장비 제조업,필터기계
14,강화일반산업단지,푸른나래(주),강화군,인천광역시 강화군 강화읍 강화산단로 151 외 2필지,031-981-0661,16,22211,22211,"플라스틱 선, 봉, 관 및 호스 제조업","PE하수관, PE수도관, 기타 부속류"
15,강화일반산업단지,(주)팔도식품,강화군,인천광역시 강화군 강화읍 강화산단로 70,031-987-2353,32,10129,"10129, 10751, 10759",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,냉동식품(육가공류)
16,강화일반산업단지,(주)다복,강화군,인천광역시 강화군 강화읍 강화산단로 163,031-987-7714,3,29133,"29133, 35114","탭, 밸브 및 유사장치 제조업 외 1 종","수도꼭지, 전기에너지"
17,강화일반산업단지,(주)삼원금속,강화군,인천광역시 강화군 강화읍 강화산단로 197,031-987-9051,7,25112,25112,구조용 금속 판제품 및 공작물 제조업,구조용금속판제품 등
18,강화일반산업단지,에스엠아이,강화군,인천광역시 강화군 강화읍 옥림리 1233-3번지,031-988-4958,21,22231,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",비닐포장지
19,강화일반산업단지,㈜동방실리콘,강화군,인천광역시 강화군 강화읍 월곳리 754-9번지,031-988-8612,61,22193,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,위생용 및 산업용 실리콘제품
20,강화일반산업단지,(주)혜덕,강화군,인천광역시 강화군 강화읍 강화산단로 130 (주)혜덕 외 2필지,031-989-0253,35,25112,"23122, 25112, 32091",구조용 금속 판제품 및 공작물 제조업 외 2 종,"철재가구, 사무용칸막이, 모니터용유리"
21,강화일반산업단지,주식회사 비에스큐,강화군,인천광역시 강화군 강화읍 월곳리 749-1번지 외 2필지,031-989-5606,53,25924,25924,절삭가공 및 유사처리업,자동화기계부품
