연번,분야,유형,필드코드,타입코드,분류코드,시도,시군구,시설명,분류,우편번호,주소,전화번호,경도,위도,정보
1,행정기관,시청,1,1,1001,인천광역시,남동구,인천광역시청,1,21554,인천광역시 남동구 정각로 29 (구월동 1138),032-120,126.7062117,37.456133,https://www.incheon.go.kr
2,행정기관,군구청,1,2,1002,인천광역시,중구,중구청,2,22315,인천광역시 중구 신포로27번길 80 (관동1가),032-760-7114,126.6216115,37.47391732,https://www.icjg.go.kr
3,행정기관,군구청,1,2,1002,인천광역시,동구,동구청 민원실,3,22556,인천광역시 동구 금곡로 67,032-770-6114,126.6429062,37.47340672,https://www.icdonggu.go.kr/
4,행정기관,군구청,1,2,1002,인천광역시,미추홀구,미추홀구청,4,22169,인천광역시 미추홀구 독정이로 95,032-887-1011,126.6503386,37.46320642,https://www.michuhol.go.kr/
5,행정기관,군구청,1,2,1002,인천광역시,연수구,연수구청,5,21967,인천광역시 연수구 원인재로 115,032-749-7114,126.6783386,37.40949458,https://www.yeonsu.go.kr/
6,행정기관,군구청,1,2,1002,인천광역시,남동구,남동구청,6,21589,인천광역시 남동구 소래로 633,032-466-3811,126.7306783,37.44738941,https://www.namdong.go.kr/
7,행정기관,군구청,1,2,1002,인천광역시,부평구,부평구청,7,21354,인천광역시 부평구 부평대로 168,032-504-2114,126.7213328,37.50667406,https://www.icbp.go.kr/
8,행정기관,군구청,1,2,1002,인천광역시,계양구,계양구청,8,21067,인천광역시 계양구 계산새로 88,032-551-5701,126.73776,37.53744038,https://www.gyeyang.go.kr/
9,행정기관,군구청,1,2,1002,인천광역시,서구,서구청,9,22726,인천광역시 서구 서곶로 307,032-562-5301,126.6766301,37.54511945,https://www.seo.incheon.kr/
10,행정기관,군구청,1,2,1002,인천광역시,강화군,강화군청,10,23031,인천광역시 강화군 강화읍 강화대로 394,032-930-3114,126.4878611,37.74611654,https://www.ganghwa.go.kr/
11,행정기관,군구청,1,2,1002,인천광역시,미추홀구,옹진군청,11,22193,인천광역시 미추홀구 매소홀로 120,032-899-2114,126.6367452,37.44657044,
12,행정기관,주민자치센터,1,3,1003,인천광역시,중구,신포동 행정복지센터,1,22322,인천광역시 중구 제물량로 168,032-760-6100,126.625029,37.47045331,
13,행정기관,주민자치센터,1,3,1003,인천광역시,중구,연안동 행정복지센터,2,22348,인천광역시 중구 축항대로86번길 44 (항동7가),032-760-6120,126.6043406,37.45314798,
14,행정기관,주민자치센터,1,3,1003,인천광역시,중구,신흥동행정복지센터,3,22320,인천광역시 중구 제물량로 80번길 3-14,032-760-6140,126.6340878,37.46765602,
15,행정기관,주민자치센터,1,3,1003,인천광역시,중구,도원동 행정복지센터,4,22327,인천광역시 중구 도원로 42,032-760-6160,126.6379233,37.46809643,
16,행정기관,주민자치센터,1,3,1003,인천광역시,중구,율목동 행정복지센터,5,22319,인천광역시 중구 서해대로 483번길 3,032-760-6180,126.6357253,37.4690696,
17,행정기관,주민자치센터,1,3,1003,인천광역시,중구,동인천동 행정복지센터,6,22309,인천광역시 중구 참외전로 72번길 25,032-760-6200,126.6289499,37.47682773,
18,행정기관,주민자치센터,1,3,1003,인천광역시,중구,북성동 행정복지센터,7,22312,인천광역시 중구 차이나타운로 44번길13-2,032-760-6220,126.6185426,37.47522611,
19,행정기관,주민자치센터,1,3,1003,인천광역시,중구,송월동 행정복지센터,8,22308,인천광역시 중구 참외전로 37번길 5,032-760-6240,126.6242106,37.47995975,
20,행정기관,주민자치센터,1,3,1003,인천광역시,중구,영종동 행정복지센터,9,22372,인천광역시 중구 운남서로100(운남동),032-760-8880,126.5312423,37.49420067,
21,행정기관,주민자치센터,1,3,1003,인천광역시,중구,영종1동 행정복지센터,10,22401,인천광역시 중구 하늘달빛로 120(중산동),032-760-6360,126.5548434,37.48885208,
22,행정기관,주민자치센터,1,3,1003,인천광역시,중구,운서동 행정복지센터,11,22371,인천광역시 중구 흰바위로27번길 10,032-760-6260,126.4883435,37.49333074,
23,행정기관,주민자치센터,1,3,1003,인천광역시,중구,용유동 행정복지센터,12,22384,인천광역시 중구 마시란로 308-13,032-760-6280,126.4028436,37.44399274,
24,행정기관,주민자치센터,1,3,1003,인천광역시,동구,만석동 행정복지센터,13,22510,인천광역시 동구 석수로 96 (만석동),032-770-5760,126.6256944,37.48323359,
25,행정기관,주민자치센터,1,3,1003,인천광역시,동구,화수1.화평동 행정복지센터,14,22517,인천광역시 동구 화도로 41 (화수동),032-770-5780,126.6299037,37.48155663,
26,행정기관,주민자치센터,1,3,1003,인천광역시,동구,화수2동 행정복지센터,15,22512,인천광역시 동구 화수안로 42 (화수동),032-770-5800,126.630177,37.48438552,
27,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송현1.2동 행정복지센터,16,22549,인천광역시 동구 수문통로 26 (송현동),032-770-5820,126.6333837,37.47849853,
28,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송현3동 행정복지센터,17,22533,인천광역시 동구 인중로 635-20 (송현동),032-770-5840,126.6426457,37.48228973,
29,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송림1동 행정복지센터,18,22542,인천광역시 동구 송림로43번길 42 (송림동),032-770-5860,126.640227,37.47627264,
30,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송림2동 행정복지센터,19,22543,인천광역시 동구 안송로6번길 5 (송림동),032-770-5880,126.6426807,37.47581618,
31,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송림3.5동 행정복지센터,20,22556,인천광역시 동구 새천년로 72 (송림동),032-770-5900,126.6488038,37.47472692,
32,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송림4동 행정복지센터,21,22537,인천광역시 동구 육송로10번길 31 (송림동),032-770-5920,126.6499223,37.47819055,
33,행정기관,주민자치센터,1,3,1003,인천광역시,동구,송림6동 행정복지센터,22,22545,인천광역시 동구 샛골로162번길 56 (송림동),032-770-5940,126.6477989,37.47731555,
34,행정기관,주민자치센터,1,3,1003,인천광역시,동구,금창동 행정복지센터,23,22564,인천광역시 동구 금곡로36번길 16(금곡동),032-770-5960,126.6397809,37.47251421,
35,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,"숭의1,3동 행정복지센터",24,22103,인천광역시 미추홀구 석정로92번길 21-17(숭의동),032-728-6101,126.6472305,37.46724577,
36,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,숭의2동 행정복지센터,25,22169,인천광역시 미추홀구 경인로42번길 31(숭의동),032-728-6121,126.6487599,37.46289086,
37,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,숭의4동 행정복지센터,26,22164,인천광역시 미추홀구 경인로156번길 32(숭의동),032-728-6141,126.6591368,37.46483887,
38,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,"용현1,4동 행정복지센터",27,22182,인천광역시 미추홀구 인주대로 198(용현동),032-728-6161,126.6585751,37.45479946,
39,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,용현2동 행정복지센터,28,22175,인천광역시 미추홀구 낙섬중로 101(용현동),032-728-6181,126.6411386,37.45658938,
40,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,용현3동 행정복지센터,29,22179,인천광역시 미추홀구 인주대로 133(용현동),032-728-6201,126.6518986,37.45674262,
41,행정기관,주민자치센터,1,3,1003,인천광역시,미추홀구,용현5동 행정복지센터,30,22187,인천광역시 미추홀구 토금북로 60(용현동),032-728-6221,126.6402605,37.45255055,
